Worst-Case%,Calc,Extra,Date,Sport,League,Event,Market,Bet Name,Odds,Sportsbook,Fair Odds,Books
6.22%,Button (button),,Today at 7:35 PM,Basketball,NBA,New York Knicks @ Indiana Pacers (/site/browse/game.aspx?gameid=13956&marketid=967841&sideid=17624110&devigmethod=0),Player Turnovers,Jalen Brunson Under 2.5,+130,ESPN Bet,+117,3
5.08%,Button (button),,Today at 7:35 PM,Basketball,NBA,New York Knicks @ Indiana Pacers (/site/browse/game.aspx?gameid=13956&marketid=967827&sideid=17643246&devigmethod=0),Player Rebounds,Obi Toppin Over 5.5,+160,FanDuel,+147,3
